sentence_id,entity_tag,entity_src,entity_tgt
a9011ddf,<entity1>,North America,Nordamerikas
bff78c91,<entity1>,A Song of Ice and Fire,Das Lied von Eis und Feuer
b218d184,<entity1>,Bernie Sanders,Bernie Sanders
b218d184,<entity2>,United States,Vereinigten Staaten
f477742c,<entity1>,Stephenie Meyer,Stephanie Meyers
f477742c,<entity2>,Edward Cullen,Edward Cullen
f477742c,<entity3>,Twilight,Twilight
2e3cf745,<entity1>,Mississippi River,Mississippi
a146c476,<entity1>,Texas,Texas
a146c476,<entity2>,US,Vereinigten Staaten
cf871296,<entity1>,Argentina,Argentinien
33ed28dd,<entity1>,U.S.,Vereinigten Staaten
33ed28dd,<entity2>,Baltimore,Baltimore
33ed28dd,<entity3>,Maryland,Maryland
cb790bce,<entity1>,Los Angeles Rams,Los Angeles Ram
cb790bce,<entity2>,Super Bowl,Super Bowl
cb790bce,<entity3>,Los Angeles,Los Angeles
9508d042,<entity1>,Colson Whitehead,Colson Whitehead
93caf40a,<entity1>,Moana,Vaiana
ae9f3be5,<entity1>,Friday the 13th,Freitag der 13.
ae9f3be5,<entity2>,Halloween,Halloween
def43cde,<entity1>,The Ring,Der Ring
47feccd4,<entity1>,Jurassic World,Jurassic World
47feccd4,<entity2>,The Lion King,Der König der Löwen
306c2b74,<entity1>,Academy Awards,Oscars
306c2b74,<entity2>,Helen Mirren,Helen Mirren
306c2b74,<entity3>,Cate Blanchett,Cate Blanchett
0b9c0743,<entity1>,Tom Hanks,Tom Hanks
0b9c0743,<entity2>,Academy Award,Schlaflos in Seattle
0b9c0743,<entity3>,Big or Sleepless,Big
4c5901ae,<entity1>,The Wizard of Oz,Der Zauberer von Oz
4c5901ae,<entity2>,Gone With The Wind,Vom Winde verweht
375001ec,<entity1>,The Godfather,Der Pate
3263c8a7,<entity1>,Avengers,Avengers
3263c8a7,<entity2>,The Lion King,Der König der Löwen
713f2368,<entity1>,Academy Awards,Oscars
713f2368,<entity2>,Titanic,Titanic
713f2368,<entity3>,Slumdog Millionaire,Slumdog Millionaire
