sentence_id,entity_tag,entity_category,entity_src,entity_translated
Q100268160_0,<entity1>,['TV series'],The Mole – Undercover,Der Maulwurf: Undercover
Q100268160_0,<entity2>,['TV series'],North Korea,Nordkorea
Q100268160_1,<entity1>,['TV series'],The Mole – Undercover in North Korea,Der Maulwurf: Undercover in Nordkorea
Q100268160_2,<entity1>,['TV series'],The Mole,Der Maulwurf
Q100268160_2,<entity2>,['TV series'],Undercover,Undercover
Q100268160_2,<entity3>,['TV series'],North Korea,Nordkorea
Q1012958_0,<entity1>,['Landmark'],Liebenzell Castle,Burg Liebenzell
Q1012958_1,<entity1>,['Landmark'],Liebenzell Castle,Burg Liebenzell
Q1012958_2,<entity1>,['Landmark'],Liebenzell Castle,Burg Liebenzell
Q1056568_0,<entity1>,['Movie'],Warning Sign,Warnzeichen
Q1056568_1,<entity1>,['Movie'],Warning Sign,Warnzeichen
Q1056568_2,<entity1>,['Movie'],Warning Sign,Warnzeichen
Q1072093_0,<entity1>,['Food'],United States,Vereinigte Staaten
Q1072093_1,<entity1>,['Food'],United States,Vereinigte Staaten
Q1072093_2,<entity1>,['Food'],United States,Vereinigte Staaten
Q10860912_0,<entity1>,"['Person', 'Fictional entity']",Griffin,Griffin
Q10860912_1,<entity1>,"['Person', 'Fictional entity']",Griffin,Griffin
Q10860912_2,<entity1>,"['Person', 'Fictional entity']",Griffin,Griffin
Q1087216_0,<entity1>,['Musical work'],Christ,Christus
Q1087216_0,<entity2>,['Musical work'],Mount of Olives,Ölberg
Q1087216_1,<entity1>,['Musical work'],Christ on the Mount of Olives,Christus am Ölberge
Q1087216_2,<entity1>,['Musical work'],Beethoven,Beethoven
Q1087216_2,<entity2>,['Musical work'],Christ on the Mount of Olives,Christus am Ölberge
Q109658712_0,<entity1>,['TV series'],Anxious People,Menschen in Angst
Q109658712_1,<entity1>,['TV series'],Anxious People,Menschen in Angst
Q109658712_2,<entity1>,['TV series'],Anxious People,Menschen in Angst
Q1110797_0,<entity1>,['Movie'],"Good Morning, Miss Dove","Guten Morgen, Miss Fink"
Q1110797_1,<entity1>,['Movie'],"Good Morning, Miss Dove","Guten Morgen, Miss Fink"
Q1110797_2,<entity1>,['Movie'],"Good Morning, Miss Dove","Guten Morgen, Miss Fink"
Q111474934_0,<entity1>,['TV series'],The Lesson,The Lesson
Q111474934_1,<entity1>,['TV series'],The Lesson,The Lesson
Q111474934_2,<entity1>,['TV series'],The Lesson,The Lesson
Q111961959_0,<entity1>,['TV series'],Love Like The Galaxy,Love Like The Galaxy
Q111961959_1,<entity1>,['TV series'],Love Like The Galaxy,Love Like The Galaxy
Q111961959_2,<entity1>,['TV series'],Love Like The Galaxy,Love Like The Galaxy
Q1144080_0,<entity1>,['Movie'],Till Marriage Do Us Part,Scheidung auf italienisch
Q1144080_1,<entity1>,['Movie'],Till Marriage Do Us Part,Scheidung auf italienisch
Q1144080_2,<entity1>,['Movie'],Till Marriage Do Us Part,Scheidung auf italienisch
Q1152142_0,<entity1>,['Fictional entity'],DC Multiverse,DC-Multiversum
Q1152142_1,<entity1>,['Fictional entity'],DC Multiverse Earth,DC-Multiversum-Erde
Q1152142_1,<entity2>,['Fictional entity'],Justice League,Gerechtigkeitsliga
Q1152142_2,<entity1>,['Fictional entity'],DC Multiverse,DC-Multiversum
Q116945637_0,<entity1>,['Movie'],All Your Faces,All eure Gesichter
Q116945637_1,<entity1>,['Movie'],All Your Faces,All eure Gesichter
Q116945637_2,<entity1>,['Movie'],All Your Faces,All eure Gesichter
Q1190888_0,<entity1>,"['Artwork', 'Book']",The Mote in God's Eye,Der Splitter im Auge Gottes
Q1190888_1,<entity1>,"['Artwork', 'Book']",The Mote in God's Eye,Der Splitter im Auge Gottes
Q1190888_2,<entity1>,"['Artwork', 'Book']",The Mote in God's Eye,Der Splitter im Auge Gottes
Q1195553_0,<entity1>,['Movie'],The Wonderful World of Puss 'n Boots,Der gestiefelte Kater
Q1195553_1,<entity1>,['Movie'],The Wonderful World of Puss 'n Boots,Der gestiefelte Kater
Q1195553_2,<entity1>,['Movie'],The Wonderful World of Puss 'n Boots,Der gestiefelte Kater
Q1203306_0,<entity1>,"['Book series', 'TV series']",Embracing Love,"Küss mich, Student!"
Q1203306_1,<entity1>,"['Book series', 'TV series']",Embracing Love,"Küss mich, Student!"
Q1203306_2,<entity1>,"['Book series', 'TV series']",Embracing Love,"Küss mich, Student!"
Q1204959_0,<entity1>,['Fictional entity'],Ministry of Truth,Wahrheitsministerium
