sentence_id,entity_tag,entity_category,entity_src
Q100268160_0,<entity1>,['TV series'],The Mole – Undercover
Q100268160_0,<entity2>,['TV series'],North Korea
Q100268160_1,<entity1>,['TV series'],The Mole – Undercover in North Korea
Q100268160_2,<entity1>,['TV series'],The Mole
Q100268160_2,<entity2>,['TV series'],Undercover
Q100268160_2,<entity3>,['TV series'],North Korea
Q1012958_0,<entity1>,['Landmark'],Liebenzell Castle
Q1012958_1,<entity1>,['Landmark'],Liebenzell Castle
Q1012958_2,<entity1>,['Landmark'],Liebenzell Castle
Q1056568_0,<entity1>,['Movie'],Warning Sign
Q1056568_1,<entity1>,['Movie'],Warning Sign
Q1056568_2,<entity1>,['Movie'],Warning Sign
Q1072093_0,<entity1>,['Food'],United States
Q1072093_1,<entity1>,['Food'],United States
Q1072093_2,<entity1>,['Food'],United States
Q10860912_0,<entity1>,"['Person', 'Fictional entity']",Griffin
Q10860912_1,<entity1>,"['Person', 'Fictional entity']",Griffin
Q10860912_2,<entity1>,"['Person', 'Fictional entity']",Griffin
Q1087216_0,<entity1>,['Musical work'],Christ
Q1087216_0,<entity2>,['Musical work'],Mount of Olives
Q1087216_1,<entity1>,['Musical work'],Christ on the Mount of Olives
Q1087216_2,<entity1>,['Musical work'],Beethoven
Q1087216_2,<entity2>,['Musical work'],Christ on the Mount of Olives
Q109658712_0,<entity1>,['TV series'],Anxious People
Q109658712_1,<entity1>,['TV series'],Anxious People
Q109658712_2,<entity1>,['TV series'],Anxious People
Q1110797_0,<entity1>,['Movie'],"Good Morning, Miss Dove"
Q1110797_1,<entity1>,['Movie'],"Good Morning, Miss Dove"
Q1110797_2,<entity1>,['Movie'],"Good Morning, Miss Dove"
Q111474934_0,<entity1>,['TV series'],The Lesson
Q111474934_1,<entity1>,['TV series'],The Lesson
Q111474934_2,<entity1>,['TV series'],The Lesson
Q111961959_0,<entity1>,['TV series'],Love Like The Galaxy
Q111961959_1,<entity1>,['TV series'],Love Like The Galaxy
Q111961959_2,<entity1>,['TV series'],Love Like The Galaxy
Q1144080_0,<entity1>,['Movie'],Till Marriage Do Us Part
Q1144080_1,<entity1>,['Movie'],Till Marriage Do Us Part
Q1144080_2,<entity1>,['Movie'],Till Marriage Do Us Part
Q1152142_0,<entity1>,['Fictional entity'],DC Multiverse
Q1152142_1,<entity1>,['Fictional entity'],DC Multiverse Earth
Q1152142_1,<entity2>,['Fictional entity'],Justice League
Q1152142_2,<entity1>,['Fictional entity'],DC Multiverse
Q116945637_0,<entity1>,['Movie'],All Your Faces
Q116945637_1,<entity1>,['Movie'],All Your Faces
Q116945637_2,<entity1>,['Movie'],All Your Faces
Q1190888_0,<entity1>,"['Artwork', 'Book']",The Mote in God's Eye
Q1190888_1,<entity1>,"['Artwork', 'Book']",The Mote in God's Eye
Q1190888_2,<entity1>,"['Artwork', 'Book']",The Mote in God's Eye
Q1195553_0,<entity1>,['Movie'],The Wonderful World of Puss 'n Boots
Q1195553_1,<entity1>,['Movie'],The Wonderful World of Puss 'n Boots
Q1195553_2,<entity1>,['Movie'],The Wonderful World of Puss 'n Boots
Q1203306_0,<entity1>,"['Book series', 'TV series']",Embracing Love
Q1203306_1,<entity1>,"['Book series', 'TV series']",Embracing Love
Q1203306_2,<entity1>,"['Book series', 'TV series']",Embracing Love
Q1204959_0,<entity1>,['Fictional entity'],Ministry of Truth
Q1204959_0,<entity2>,['Fictional entity'],Oceania
Q1204959_2,<entity1>,['Fictional entity'],Ministry of Truth
Q1216303_0,<entity1>,"['Artwork', 'Book']",Orpheus
Q1216303_0,<entity2>,"['Artwork', 'Book']",Sonnets to Orpheus
Q1216303_1,<entity1>,"['Artwork', 'Book']",Sonnets to Orpheus
Q1216303_2,<entity1>,"['Artwork', 'Book']",Sonnets to Orpheus
Q1230632_0,<entity1>,['TV series'],Tinker Tailor Soldier Spy
Q1230632_1,<entity1>,['TV series'],Tinker Tailor Soldier Spy
Q1230632_2,<entity1>,['TV series'],Tinker Tailor Soldier Spy
Q1235125_0,<entity1>,['Book'],Into the Wild
Q1235125_1,<entity1>,['Book'],Into the Wild
Q1235125_2,<entity1>,['Book'],Into the Wild
Q1242146_0,<entity1>,"['Place of worship', 'Landmark']",Donskoy Monastery
Q1242146_1,<entity1>,"['Place of worship', 'Landmark']",Donskoy Monastery
Q1242146_2,<entity1>,"['Place of worship', 'Landmark']",Donskoy Monastery
Q1257747_0,<entity1>,['Landmark'],Trinity Church
Q1257747_0,<entity2>,['Landmark'],Nikitniki
Q1257747_1,<entity1>,['Landmark'],Trinity Church
Q1257747_1,<entity2>,['Landmark'],Nikitniki
Q1257747_2,<entity1>,['Landmark'],Trinity Church
Q1257747_2,<entity2>,['Landmark'],Nikitniki
Q1264983_0,<entity1>,['TV series'],The Man from U.N.C.L.E
Q1264983_1,<entity1>,['TV series'],The Man from U.N.C.L.E.
Q1264983_2,<entity1>,['TV series'],The Man from U.N.C.L.E
Q126877_0,<entity1>,"['Landmark', 'Natural place']",Gorky Park
Q126877_1,<entity1>,"['Landmark', 'Natural place']",Gorky Park
Q126877_2,<entity1>,"['Landmark', 'Natural place']",Gorky Park
Q1305660_0,<entity1>,['TV series'],In the House
Q1305660_0,<entity2>,['TV series'],In the House
Q1305660_1,<entity1>,['TV series'],In the House
Q1305660_1,<entity2>,['TV series'],In the House
Q1305660_2,<entity1>,['TV series'],In the House
Q1305660_2,<entity2>,['TV series'],In the House
Q131119_0,<entity1>,"['Artwork', 'Book']",First Epistle
Q131119_0,<entity2>,"['Artwork', 'Book']",of Peter
Q131119_0,<entity3>,"['Artwork', 'Book']",Christianity
Q131119_1,<entity1>,"['Artwork', 'Book']",Peter
Q131119_2,<entity1>,"['Artwork', 'Book']",First Epistle
Q131119_2,<entity2>,"['Artwork', 'Book']",Peter
Q13407659_0,<entity1>,['TV series'],Valley of the Wolves
Q13407659_1,<entity1>,['TV series'],Valley of the Wolves
Q13407659_2,<entity1>,['TV series'],Valley of the Wolves
Q13501123_0,<entity1>,['TV series'],Worzel Gummidge
Q13501123_1,<entity1>,['TV series'],Worzel Gummidge
Q13501123_2,<entity1>,['TV series'],Worzel Gummidge
Q1367269_0,<entity1>,['Landmark'],Moscow Belorussky
Q1367269_0,<entity2>,['Landmark'],station
Q1367269_1,<entity1>,['Landmark'],Moscow Belorussky
Q1367269_2,<entity1>,['Landmark'],Moscow Belorussky railway station
Q1381934_0,<entity1>,['Landmark'],Ipatiev House
Q1381934_1,<entity1>,['Landmark'],Ipatiev House
Q1381934_2,<entity1>,['Landmark'],Ipatiev House
Q140527_0,<entity1>,['Artwork'],The Three Musketeers
Q140527_1,<entity1>,['Artwork'],The Three Musketeers
Q140527_2,<entity1>,['Artwork'],The Three Musketeers
Q1408916_0,<entity1>,['Landmark'],Ivangorod Fortress
Q1408916_1,<entity1>,['Landmark'],Ivangorod Fortress
Q1408916_2,<entity1>,['Landmark'],Ivangorod Fortress
Q1413856_0,<entity1>,['Musical work'],Geographical Fugue
Q1413856_1,<entity1>,['Musical work'],Fugue
Q1416458_0,<entity1>,"['Artwork', 'Book']",Stand on Zanzibar
Q1416458_1,<entity1>,"['Artwork', 'Book']",Stand on Zanzibar
Q1416458_2,<entity1>,"['Artwork', 'Book']",Stand on Zanzibar
Q1417153_0,<entity1>,['Person'],Finger Snail
Q1417153_1,<entity1>,['Person'],Finger Snail
Q1417153_2,<entity1>,['Person'],Finger Snail
Q1417153_2,<entity2>,['Person'],Egypt
Q1417441_0,<entity1>,['Landmark'],St Volodymyr's Cathedral
Q1417441_1,<entity1>,['Landmark'],St Volodymyr
Q1417441_1,<entity2>,['Landmark'],'s Cathedral
Q1417441_2,<entity1>,['Landmark'],St Volodymyr's Cathedral
Q1424212_0,<entity1>,"['Fictional entity', 'Person']",Rossi
Q1424212_1,<entity1>,"['Fictional entity', 'Person']",Rossi
Q1424212_2,<entity1>,"['Fictional entity', 'Person']",Mr. Rossi
Q1432585_0,<entity1>,['Landmark'],Kazansky railway station
Q1432585_1,<entity1>,['Landmark'],Kazansky railway station
Q1432585_2,<entity1>,['Landmark'],Kazansky railway station
Q1432585_2,<entity2>,['Landmark'],Moscow
Q1444768_0,<entity1>,['Movie'],Son of Godzilla
Q1444768_1,<entity1>,['Movie'],Son of Godzilla
Q1444768_2,<entity1>,['Movie'],Son of Godzilla
Q1449713_0,<entity1>,"['Artwork', 'Book']",Hours of Philip the Bold
Q1449713_1,<entity1>,"['Artwork', 'Book']",Hours of Philip the Bold
Q1449713_2,<entity1>,"['Artwork', 'Book']",Hours of Philip the Bold
Q1504526_0,<entity1>,"['Fictional entity', 'Person']",Comic Book Guy
Q1504526_2,<entity1>,"['Fictional entity', 'Person']",Comic
Q1504526_2,<entity2>,"['Fictional entity', 'Person']",Book Guy
Q1517519_0,<entity1>,['Book'],The Book of the Courtier
Q1517519_1,<entity1>,['Book'],The Book of the Courtier
Q1517519_2,<entity1>,['Book'],The Book of the Courtier
Q1523586_0,<entity1>,['Movie'],A Hatful of Rain
Q1523586_1,<entity1>,['Movie'],A Hatful of Rain
Q1523586_2,<entity1>,['Movie'],A Hatful of Rain
Q15260610_0,<entity1>,['TV series'],One in one!
Q15260610_1,<entity1>,['TV series'],One in one!
Q15260610_2,<entity1>,['TV series'],Russian
Q15260610_2,<entity2>,['TV series'],One in one!
Q15299082_0,<entity1>,['TV series'],Turkish
Q15299082_0,<entity2>,['TV series'],Do not worry for me
Q15299082_1,<entity1>,['TV series'],Do not worry for me
Q15299082_2,<entity1>,['TV series'],Do not worry for me
Q1545219_0,<entity1>,"['Fictional entity', 'Person']",Father Brown
Q1545219_1,<entity1>,"['Fictional entity', 'Person']",Father Brown
Q1545219_2,<entity1>,"['Fictional entity', 'Person']",Father Brown
Q154563_0,<entity1>,['Place of worship'],Berlin Cathedral
Q154563_1,<entity1>,['Place of worship'],Berlin Cathedral
Q1548449_0,<entity1>,['Place of worship'],Great Synagogue
Q1548449_0,<entity2>,['Place of worship'],Czech Republic
Q1548449_1,<entity1>,['Place of worship'],Great Synagogue
Q1548449_1,<entity2>,['Place of worship'],Plzeň
Q1548449_2,<entity1>,['Place of worship'],Great Synagogue
Q15635278_0,<entity1>,['TV series'],Very Good Times
Q15635278_0,<entity2>,['TV series'],South Korea
Q15635278_1,<entity1>,['TV series'],Very Good Times
Q15635278_2,<entity1>,['TV series'],South Korean
Q15635278_2,<entity2>,['TV series'],Very Good Times
Q1579157_0,<entity1>,['Artwork'],Mount Royal Cross
Q1579157_1,<entity1>,['Artwork'],Mount Royal Cross
Q1579157_2,<entity1>,['Artwork'],Mount Royal Cross
Q1579960_0,<entity1>,['Movie'],I Never Sang for My Father
Q1579960_1,<entity1>,['Movie'],I Never Sang for My Father
Q1579960_2,<entity1>,['Movie'],I Never Sang for My Father
Q15804357_0,<entity1>,['Movie'],Quality Time
Q15804357_1,<entity1>,['Movie'],Quality Time
Q15804357_2,<entity1>,['Movie'],Quality Time
Q1585564_0,<entity1>,['Place of worship'],Sakya Monastery
Q1585564_1,<entity1>,['Place of worship'],Sakya Monastery
Q1585564_2,<entity1>,['Place of worship'],Sakya Monastery
Q1585564_2,<entity2>,['Place of worship'],People's Republic of China
Q160341_0,<entity1>,['Person'],Edward IV
Q160341_0,<entity2>,['Person'],England
Q161106_0,<entity1>,['Person'],Konstantin Pavlovich
Q161106_0,<entity2>,['Person'],Russia
Q16150399_1,<entity1>,['TV series'],American Gangster
Q16150399_2,<entity1>,['TV series'],American Gangster
Q162935_0,<entity1>,['Musical work'],Piano Concerto No. 1
Q162935_1,<entity1>,['Musical work'],Piano Concerto No. 1
Q162935_2,<entity1>,['Musical work'],Piano Concerto No. 1
Q163493_0,<entity1>,['Musical work'],Symphony No. 1
Q163493_1,<entity1>,['Musical work'],Symphony No. 1
Q163493_2,<entity1>,['Musical work'],Symphony No. 1
Q163600_0,<entity1>,['Musical work'],Symphony No. 1
Q163600_1,<entity1>,['Musical work'],Symphony No. 1
Q163600_2,<entity1>,['Musical work'],Symphony No. 1
Q16387049_0,<entity1>,"['Artwork', 'Book']",Mistborn: Shadows of Self
